epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,17525.2,0.5329,0.43346,1.04294,0.96375,0.8853,0.93698,0.75874,0.70303,0.52789,1.1018,0.0003764,0.0003764,0.0003764
84,17732.8,0.52177,0.42201,1.02797,0.96998,0.88172,0.94349,0.75365,0.7068,0.5285,1.11181,0.0003566,0.0003566,0.0003566
85,17941,0.54131,0.43847,1.04454,0.94078,0.88889,0.93891,0.76597,0.69009,0.51998,1.09181,0.0003368,0.0003368,0.0003368
86,18145.4,0.51693,0.43512,1.041,0.95818,0.89247,0.93927,0.77088,0.68163,0.51055,1.07294,0.000317,0.000317,0.000317
87,18358.6,0.52146,0.42796,1.03886,0.93559,0.89964,0.93661,0.77222,0.67311,0.5378,1.06759,0.0002972,0.0002972,0.0002972
88,18570.8,0.53805,0.43654,1.04242,0.95733,0.88463,0.93686,0.77918,0.64346,0.51391,1.04348,0.0002774,0.0002774,0.0002774
89,18784,0.53475,0.43078,1.04104,0.938,0.88889,0.93514,0.77243,0.66194,0.52046,1.05898,0.0002576,0.0002576,0.0002576
90,18996.2,0.50821,0.42613,1.03687,0.92654,0.90414,0.93315,0.76927,0.69019,0.51473,1.08899,0.0002378,0.0002378,0.0002378
91,19207.3,0.48802,0.4353,1.0777,0.9463,0.88419,0.92245,0.75169,0.69487,0.54907,1.09224,0.000218,0.000218,0.000218
92,19413.3,0.46183,0.35676,1.04984,0.94379,0.90271,0.92633,0.7766,0.65481,0.52973,1.05449,0.0001982,0.0001982,0.0001982
93,19619.9,0.47781,0.35764,1.05904,0.92363,0.9103,0.93545,0.77849,0.66578,0.51915,1.06616,0.0001784,0.0001784,0.0001784
94,19826.5,0.45724,0.36362,1.06303,0.93849,0.89606,0.93185,0.77622,0.66649,0.48931,1.06683,0.0001586,0.0001586,0.0001586
95,20033.9,0.45281,0.33599,1.02724,0.9495,0.87617,0.92634,0.77805,0.65322,0.51076,1.05036,0.0001388,0.0001388,0.0001388
96,20240.7,0.44896,0.34263,1.05257,0.94652,0.88819,0.92917,0.77621,0.65281,0.50904,1.04885,0.000119,0.000119,0.000119
97,20446.8,0.43061,0.32336,1.02789,0.95661,0.88172,0.93224,0.77893,0.64388,0.50409,1.03893,9.92e-05,9.92e-05,9.92e-05
98,20653,0.44098,0.33397,1.02562,0.9429,0.88783,0.92839,0.77641,0.65616,0.51944,1.05404,7.94e-05,7.94e-05,7.94e-05
99,20859.7,0.43112,0.33872,1.03244,0.93979,0.89516,0.92785,0.77393,0.6537,0.52401,1.05048,5.96e-05,5.96e-05,5.96e-05
100,21067.8,0.41897,0.31015,1.01372,0.93336,0.90368,0.92535,0.7734,0.65736,0.51431,1.05697,3.98e-05,3.98e-05,3.98e-05
